hand,combo,num_cameras,bone,start,end,length_mm,gt_length_mm,error_mm,abs_error_mm
left,cam1+cam2,2,wrist_index_mcp,0,5,72.76267238672406,89.7,-16.93732761327594,16.93732761327594
left,cam1+cam2,2,index_mcp_pip,5,6,47.67721766024832,39,8.677217660248317,8.677217660248317
left,cam1+cam2,2,index_pip_dip,6,7,25.96385621511467,16.5,9.46385621511467,9.46385621511467
left,cam1+cam2,2,index_dip_tip,7,8,20.95785031758816,20,0.9578503175881607,0.9578503175881607
left,cam1+cam2,2,wrist_middle_mcp,0,9,69.95746788812801,84.8,-14.84253211187199,14.84253211187199
left,cam1+cam2,2,middle_mcp_pip,9,10,52.026991200726584,46.066,5.960991200726582,5.960991200726582
left,cam1+cam2,2,pinky_pip_dip,18,19,15.49058510925453,15.2,0.29058510925453085,0.29058510925453085
left,cam1+cam3,2,wrist_index_mcp,0,5,73.30798766848513,89.7,-16.392012331514877,16.392012331514877
left,cam1+cam3,2,index_mcp_pip,5,6,50.21122592642386,39,11.211225926423857,11.211225926423857
left,cam1+cam3,2,index_pip_dip,6,7,27.15823600874089,16.5,10.65823600874089,10.65823600874089
left,cam1+cam3,2,wrist_middle_mcp,0,9,70.49573481690986,84.8,-14.304265183090138,14.304265183090138
left,cam1+cam3,2,middle_mcp_pip,9,10,49.73457335388766,46.066,3.668573353887659,3.668573353887659
left,cam1+cam4,2,wrist_thumb_cmc,0,1,51.24693308306599,52,-0.7530669169340101,0.7530669169340101
left,cam1+cam4,2,thumb_cmc_mcp,1,2,35.12065541997806,38.5,-3.379344580021943,3.379344580021943
left,cam1+cam4,2,thumb_mcp_ip,2,3,28.37537928833464,31.5,-3.1246207116653615,3.1246207116653615
left,cam1+cam4,2,thumb_ip_tip,3,4,23.664993379068758,30,-6.335006620931242,6.335006620931242
left,cam1+cam4,2,wrist_index_mcp,0,5,71.30628741932284,89.7,-18.39371258067716,18.39371258067716
left,cam1+cam4,2,index_mcp_pip,5,6,47.41322741041309,39,8.413227410413093,8.413227410413093
left,cam1+cam4,2,index_pip_dip,6,7,27.131511065403128,16.5,10.631511065403128,10.631511065403128
left,cam1+cam4,2,index_dip_tip,7,8,19.52086299404973,20,-0.4791370059502711,0.4791370059502711
left,cam1+cam4,2,wrist_middle_mcp,0,9,69.8964892826537,84.8,-14.903510717346293,14.903510717346293
left,cam1+cam4,2,middle_mcp_pip,9,10,52.855624625042864,46.066,6.789624625042862,6.789624625042862
left,cam2+cam3,2,wrist_index_mcp,0,5,73.63522751392529,89.7,-16.064772486074716,16.064772486074716
left,cam2+cam3,2,index_mcp_pip,5,6,47.30509393828742,39,8.30509393828742,8.30509393828742
left,cam2+cam3,2,index_pip_dip,6,7,27.52502161227657,16.5,11.025021612276571,11.025021612276571
left,cam2+cam3,2,wrist_middle_mcp,0,9,70.52227733116946,84.8,-14.277722668830535,14.277722668830535
left,cam2+cam3,2,middle_mcp_pip,9,10,59.55551816073089,46.066,13.489518160730888,13.489518160730888
left,cam2+cam3,2,middle_pip_dip,10,11,14.230821449285019,21.2,-6.969178550714981,6.969178550714981
left,cam2+cam3,2,wrist_ring_mcp,0,13,67.81594670397044,84.2,-16.384053296029563,16.384053296029563
left,cam2+cam3,2,ring_mcp_pip,13,14,49.79489747012175,43.8,5.9948974701217494,5.9948974701217494
left,cam2+cam3,2,ring_pip_dip,14,15,37.875409185163534,19.69,18.185409185163532,18.185409185163532
left,cam2+cam3,2,wrist_pinky_mcp,0,17,69.01574930793487,80,-10.984250692065132,10.984250692065132
left,cam2+cam3,2,pinky_mcp_pip,17,18,44.26424594989976,36.8,7.464245949899762,7.464245949899762
left,cam2+cam4,2,wrist_index_mcp,0,5,71.01095582623037,89.7,-18.68904417376963,18.68904417376963
left,cam2+cam4,2,index_mcp_pip,5,6,49.36077726452178,39,10.36077726452178,10.36077726452178
left,cam2+cam4,2,index_pip_dip,6,7,24.434916501465715,16.5,7.934916501465715,7.934916501465715
left,cam2+cam4,2,index_dip_tip,7,8,22.129516645920017,20,2.1295166459200168,2.1295166459200168
left,cam2+cam4,2,wrist_middle_mcp,0,9,69.94010564051008,84.8,-14.859894359489914,14.859894359489914
left,cam2+cam4,2,middle_mcp_pip,9,10,56.040464513830464,46.066,9.974464513830462,9.974464513830462
left,cam2+cam4,2,middle_pip_dip,10,11,29.210083828113323,21.2,8.010083828113324,8.010083828113324
left,cam2+cam4,2,middle_dip_tip,11,12,39.259941773668594,21,18.259941773668594,18.259941773668594
left,cam2+cam4,2,wrist_ring_mcp,0,13,67.90937473605143,84.2,-16.29062526394857,16.29062526394857
left,cam2+cam4,2,ring_mcp_pip,13,14,51.24932483219486,43.8,7.449324832194861,7.449324832194861
left,cam2+cam4,2,ring_pip_dip,14,15,38.622031295658445,19.69,18.932031295658444,18.932031295658444
left,cam2+cam4,2,wrist_pinky_mcp,0,17,70.00311124880305,80,-9.996888751196948,9.996888751196948
left,cam2+cam4,2,pinky_mcp_pip,17,18,30.168260971663482,36.8,-6.631739028336515,6.631739028336515
left,cam3+cam4,2,wrist_index_mcp,0,5,69.74668911863402,89.7,-19.95331088136598,19.95331088136598
left,cam3+cam4,2,index_mcp_pip,5,6,51.99644802363953,39,12.99644802363953,12.99644802363953
left,cam3+cam4,2,index_pip_dip,6,7,26.393187186386342,16.5,9.893187186386342,9.893187186386342
left,cam3+cam4,2,wrist_middle_mcp,0,9,68.59059300651816,84.8,-16.209406993481835,16.209406993481835
left,cam3+cam4,2,middle_mcp_pip,9,10,55.95253426285782,46.066,9.886534262857815,9.886534262857815
left,cam3+cam4,2,middle_pip_dip,10,11,24.82411001195573,21.2,3.6241100119557323,3.6241100119557323
left,cam3+cam4,2,wrist_ring_mcp,0,13,67.36981688698347,84.2,-16.83018311301653,16.83018311301653
left,cam3+cam4,2,ring_mcp_pip,13,14,51.238537670477754,43.8,7.438537670477757,7.438537670477757
left,cam3+cam4,2,ring_pip_dip,14,15,40.88096338435653,19.69,21.190963384356525,21.190963384356525
left,cam3+cam4,2,wrist_pinky_mcp,0,17,68.83896234988488,80,-11.16103765011512,11.16103765011512
left,cam3+cam4,2,pinky_mcp_pip,17,18,29.24096683524655,36.8,-7.559033164753448,7.559033164753448
left,cam1+cam2+cam3,3,wrist_index_mcp,0,5,73.11666189725022,89.7,-16.583338102749778,16.583338102749778
left,cam1+cam2+cam3,3,index_mcp_pip,5,6,49.152910889414144,39,10.152910889414144,10.152910889414144
left,cam1+cam2+cam3,3,index_pip_dip,6,7,26.774799165046996,16.5,10.274799165046996,10.274799165046996
left,cam1+cam2+cam3,3,wrist_middle_mcp,0,9,70.38111566408443,84.8,-14.418884335915564,14.418884335915564
left,cam1+cam2+cam3,3,middle_mcp_pip,9,10,52.10833181630558,46.066,6.042331816305577,6.042331816305577
left,cam1+cam2+cam4,3,wrist_index_mcp,0,5,71.69192996827034,89.7,-18.00807003172966,18.00807003172966
left,cam1+cam2+cam4,3,index_mcp_pip,5,6,48.11683154218718,39,9.116831542187178,9.116831542187178
left,cam1+cam2+cam4,3,index_pip_dip,6,7,25.78627842664335,16.5,9.28627842664335,9.28627842664335
left,cam1+cam2+cam4,3,index_dip_tip,7,8,21.042922260534944,20,1.0429222605349437,1.0429222605349437
left,cam1+cam2+cam4,3,wrist_middle_mcp,0,9,69.79745799844822,84.8,-15.002542001551774,15.002542001551774
left,cam1+cam2+cam4,3,middle_mcp_pip,9,10,53.53833298295456,46.066,7.472332982954555,7.472332982954555
left,cam1+cam3+cam4,3,wrist_index_mcp,0,5,71.75182355848128,89.7,-17.948176441518726,17.948176441518726
left,cam1+cam3+cam4,3,index_mcp_pip,5,6,50.278397362308105,39,11.278397362308105,11.278397362308105
left,cam1+cam3+cam4,3,index_pip_dip,6,7,26.812972586308625,16.5,10.312972586308625,10.312972586308625
left,cam1+cam3+cam4,3,wrist_middle_mcp,0,9,69.89971697065188,84.8,-14.900283029348117,14.900283029348117
left,cam1+cam3+cam4,3,middle_mcp_pip,9,10,52.804258320851616,46.066,6.738258320851614,6.738258320851614
left,cam2+cam3+cam4,3,wrist_index_mcp,0,5,70.57997809841864,89.7,-19.120021901581367,19.120021901581367
left,cam2+cam3+cam4,3,index_mcp_pip,5,6,50.30668728641517,39,11.306687286415169,11.306687286415169
left,cam2+cam3+cam4,3,index_pip_dip,6,7,25.788400713509137,16.5,9.288400713509137,9.288400713509137
left,cam2+cam3+cam4,3,wrist_middle_mcp,0,9,69.08247745221612,84.8,-15.717522547783872,15.717522547783872
left,cam2+cam3+cam4,3,middle_mcp_pip,9,10,56.24357979177752,46.066,10.177579791777518,10.177579791777518
left,cam2+cam3+cam4,3,middle_pip_dip,10,11,23.697601441099366,21.2,2.4976014410993663,2.4976014410993663
left,cam2+cam3+cam4,3,wrist_ring_mcp,0,13,67.36067190596323,84.2,-16.839328094036773,16.839328094036773
left,cam2+cam3+cam4,3,ring_mcp_pip,13,14,50.91821253381533,43.8,7.118212533815331,7.118212533815331
left,cam2+cam3+cam4,3,ring_pip_dip,14,15,39.62715857123713,19.69,19.93715857123713,19.93715857123713
left,cam2+cam3+cam4,3,wrist_pinky_mcp,0,17,69.21684895421896,80,-10.78315104578104,10.78315104578104
left,cam2+cam3+cam4,3,pinky_mcp_pip,17,18,31.987069887687788,36.8,-4.812930112312209,4.812930112312209
left,cam1+cam2+cam3+cam4,4,wrist_index_mcp,0,5,71.7726121758715,89.7,-17.927387824128502,17.927387824128502
left,cam1+cam2+cam3+cam4,4,index_mcp_pip,5,6,49.561789852251614,39,10.561789852251614,10.561789852251614
left,cam1+cam2+cam3+cam4,4,index_pip_dip,6,7,26.288954650887824,16.5,9.788954650887824,9.788954650887824
left,cam1+cam2+cam3+cam4,4,wrist_middle_mcp,0,9,69.807299471711,84.8,-14.992700528288992,14.992700528288992
left,cam1+cam2+cam3+cam4,4,middle_mcp_pip,9,10,53.545738260324974,46.066,7.479738260324972,7.479738260324972
